unique_id,timestamp,y_pred,y_proba,query,model_version,runtime
fe0f73d7-ff5b-4dc8-81d8-b383f9001c02,1595456508.9351969,0.0,None,"['united_states', 21, 'aavail_premium', 24]",0.1,000:00:00
e9284403-73df-4612-b99d-d725d6beaf5f,1595456508.9356601,0.0,None,"['singapore', 44, 'aavail_basic', 17]",0.1,000:00:00
d2cda71e-6fa4-49b8-8654-563377b9cec3,1595456508.936034,0.0,None,"['united_states', 24, 'aavail_unlimited', 6]",0.1,000:00:00
41e5a382-05ed-495b-80ef-c45b773f7ad5,1595456508.936407,0.0,None,"['united_states', 30, 'aavail_basic', 22]",0.1,000:00:00
e4e96790-5ea0-4e05-bc48-766093a1792c,1595456508.936772,0.0,None,"['united_states', 21, 'aavail_premium', 20]",0.1,000:00:00
b54fbe32-9454-4756-89b3-46d0f45161fc,1595456508.9371321,0.0,None,"['united_states', 17, 'aavail_premium', 20]",0.1,000:00:00
43056fec-4bce-4433-af88-242965b522df,1595456508.9374971,0.0,None,"['united_states', 27, 'aavail_unlimited', 23]",0.1,000:00:00
dc44c90b-325d-4ef3-9734-40819f004d21,1595456508.9378612,1.0,None,"['singapore', 39, 'aavail_premium', 25]",0.1,000:00:00
701f85d7-1ee1-482c-9ba9-78990186943c,1595456508.9382231,0.0,None,"['united_states', 31, 'aavail_basic', 16]",0.1,000:00:00
f6074bd1-5d32-49d5-8da4-1764a8517a34,1595456508.938594,0.0,None,"['united_states', 29, 'aavail_premium', 20]",0.1,000:00:00
0068f143-7512-45d0-9c78-1ced5fba12f4,1595456508.938952,0.0,None,"['united_states', 24, 'aavail_basic', 26]",0.1,000:00:00
9313d56f-ca15-4c34-b7d4-9f0900ad54c1,1595456508.939318,0.0,None,"['united_states', 18, 'aavail_premium', 19]",0.1,000:00:00
e092d150-b6ae-4bf6-b234-546bf3a74fa9,1595456508.939732,0.0,None,"['united_states', 20, 'aavail_basic', 20]",0.1,000:00:00
318857cb-b7f5-40e5-90c6-4ce151412b9f,1595456508.940085,0.0,None,"['united_states', 21, 'aavail_premium', 21]",0.1,000:00:00
66848fc0-f1a2-43d9-ad60-f4b8fcf7b8b3,1595456508.9404328,0.0,None,"['united_states', 20, 'aavail_unlimited', 25]",0.1,000:00:00
6d2ea5c1-eeb4-45d1-9ff6-fee557f5682a,1595456508.940825,0.0,None,"['united_states', 26, 'aavail_basic', 16]",0.1,000:00:00
437301f5-c4b8-497d-8964-fed22a0d05cb,1595456508.941171,0.0,None,"['singapore', 22, 'aavail_basic', 9]",0.1,000:00:00
fe680d7d-76a9-426d-89e3-c573a938e972,1595456508.941529,0.0,None,"['united_states', 30, 'aavail_unlimited', 21]",0.1,000:00:00
75532eac-01ab-43fb-aa48-9dee98f1fa1f,1595456508.941865,0.0,None,"['united_states', 20, 'aavail_unlimited', 22]",0.1,000:00:00
4a557357-f0e2-4d4d-b5c7-654ce3b5dd6c,1595456508.9422,0.0,None,"['united_states', 25, 'aavail_unlimited', 21]",0.1,000:00:00
352de362-c801-4eab-8f83-b75729797417,1595456508.942534,1.0,None,"['singapore', 23, 'aavail_unlimited', 22]",0.1,000:00:00
3b95623a-3611-4978-8676-a4cce725ea9e,1595456508.94287,0.0,None,"['united_states', 22, 'aavail_premium', 17]",0.1,000:00:00
fa2ab946-4687-434e-a25e-49fa00dbcabe,1595456508.943203,0.0,None,"['united_states', 27, 'aavail_unlimited', 12]",0.1,000:00:00
d1a70a63-d0b5-4fbe-a46e-470225b7ce33,1595456508.9435542,0.0,None,"['singapore', 23, 'aavail_basic', 21]",0.1,000:00:00
2b9adb57-4c73-4cf1-bd59-33ced1952b98,1595456508.943876,0.0,None,"['united_states', 39, 'aavail_unlimited', 18]",0.1,000:00:00
76516a38-601d-4abf-87c7-659809e3df05,1595456508.9442,0.0,None,"['united_states', 37, 'aavail_basic', 18]",0.1,000:00:00
e83fe5c1-02a4-4d35-88bf-f4afddc24f36,1595456508.944536,0.0,None,"['united_states', 30, 'aavail_unlimited', 8]",0.1,000:00:00
501cf50c-5898-4257-a890-a2b5270f8e84,1595456508.944853,0.0,None,"['united_states', 35, 'aavail_basic', 12]",0.1,000:00:00
a3a8dc74-500c-4cd5-94f1-93bef746116b,1595456508.945166,1.0,None,"['singapore', 39, 'aavail_unlimited', 18]",0.1,000:00:00
0227c360-63f3-45c8-98f7-8c7e9f2c98b9,1595456508.945496,1.0,None,"['singapore', 21, 'aavail_premium', 17]",0.1,000:00:00
b04a8a6e-a68b-489d-bca2-20c56f76988c,1595456508.945801,0.0,None,"['united_states', 21, 'aavail_basic', 17]",0.1,000:00:00
deeca6e6-35ff-4a4b-bece-40be4cdb3464,1595456508.9461079,0.0,None,"['united_states', 27, 'aavail_basic', 16]",0.1,000:00:00
fe40e940-2297-4701-ac61-29f9a1b346a9,1595456508.9464161,0.0,None,"['united_states', 20, 'aavail_basic', 18]",0.1,000:00:00
